SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
FAIRFIELD METHODIST SCHOOL (SECONDARY),102,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649,139649,22522.3772030193,31553.6179904211,1.30163374395823,103.784099647149,102  DOVER ROAD
HOLY COVENANT METHODIST CHURCH,102,DOVER ROAD,HOLY COVENANT METHODIST CHURCH,102 DOVER ROAD HOLY COVENANT METHODIST CHURCH SINGAPORE 139649,139649,22549.1834071716,31576.1390955821,1.30183742154919,103.784340509094,102  DOVER ROAD
FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,217567,29941.7768185176,32740.5849021059,1.31236867681371,103.850766402965,2    FARRER PARK ROAD
LEARNING STUDIO BY ZENITANT (FARRER PARK PRIMARY),2,FARRER PARK ROAD,LEARNING STUDIO BY ZENITANT (FARRER PARK PRIMARY),2 FARRER PARK ROAD LEARNING STUDIO BY ZENITANT (FARRER PARK PRIMARY) SINGAPORE 217567,217567,29942.2804777659,32747.4519811794,1.31243078021903,103.850770929023,2    FARRER PARK ROAD
MOE KINDERGARTEN @ FARRER PARK,2,FARRER PARK ROAD,MOE KINDERGARTEN @ FARRER PARK,2 FARRER PARK ROAD MOE KINDERGARTEN @ FARRER PARK SINGAPORE 217567,217567,29917.0852870485,32693.1287898142,1.31193950204473,103.850544534433,2    FARRER PARK ROAD
FENGSHAN PRIMARY SCHOOL,307,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,38949.9907227494,34668.9245775398,1.32980598760785,103.931710293058,307  BEDOK NORTH ROAD
KIDS' LOFT STUDENT CARE @ FENGSHAN,307,BEDOK NORTH ROAD,KIDS' LOFT STUDENT CARE @ FENGSHAN,307 BEDOK NORTH ROAD KIDS' LOFT STUDENT CARE @ FENGSHAN SINGAPORE 469680,469680,38962.6912292531,34666.5444546398,1.3297844580718,103.931824413157,307  BEDOK NORTH ROAD
MOE KINDERGARTEN @ FENGSHAN,307,BEDOK NORTH ROAD,MOE KINDERGARTEN @ FENGSHAN,307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680,469680,38982.7967979731,34657.410485195,1.32970184654986,103.932005069334,307  BEDOK NORTH ROAD
FERN GREEN PRIMARY SCHOOL,70,FERNVALE LINK,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538,797538,33231.7764054528,42128.5479522273,1.39726966050479,103.880330305684,70   Fernvale Link
MOE KINDERGARTEN @ FERN GREEN,70,FERNVALE LINK,MOE KINDERGARTEN @ FERN GREEN,70 FERNVALE LINK MOE KINDERGARTEN @ FERN GREEN SINGAPORE 797538,797538,33210.2900113147,42134.1007954478,1.39731988228585,103.880137234155,70   Fernvale Link
RAFFLES STUDENT CARE LEARNING CENTRE LLP (FERN GREEN PRIMARY),70,FERNVALE LINK,RAFFLES STUDENT CARE LEARNING CENTRE LLP (FERN GREEN PRIMARY),70 FERNVALE LINK RAFFLES STUDENT CARE LEARNING CENTRE LLP (FERN GREEN PRIMARY) SINGAPORE 797538,797538,33208.7882047668,42148.1511329543,1.39744694871873,103.88012374173,70   Fernvale Link
FERNVALE PRIMARY SCHOOL,1,FERNVALE LANE,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701,797701,32576.8849010281,41358.1178030372,1.39030227963797,103.874445458032,1    Fernvale Lane
MOE KINDERGARTEN @ FERNVALE,1,FERNVALE LANE,MOE KINDERGARTEN @ FERNVALE,1 FERNVALE LANE MOE KINDERGARTEN @ FERNVALE SINGAPORE 797701,797701,32537.1710060248,41287.4380051475,1.38966308328476,103.874088586824,1    Fernvale Lane
PRO-TEACH SCHOOLCARE (FERNVALE),1,FERNVALE LANE,PRO-TEACH SCHOOLCARE (FERNVALE),1 FERNVALE LANE PRO-TEACH SCHOOLCARE (FERNVALE) SINGAPORE 797701,797701,32538.5495916111,41322.4145974834,1.38997939874565,103.874100979909,1    Fernvale Lane
FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,7    LORONG 8 TOA PAYOH
MOE KINDERGARTEN @ FIRST TOA PAYOH,7,LORONG 8 TOA PAYOH,MOE KINDERGARTEN @ FIRST TOA PAYOH,7 LORONG 8 TOA PAYOH MOE KINDERGARTEN @ FIRST TOA PAYOH SINGAPORE 319252,319252,30543.7338872049,35811.7035927437,1.34014274139827,103.856175538933,7    LORONG 8 TOA PAYOH
NASCANS FIRST TOA PAYOH STUDENT CARE CENTRE,7,LORONG 8 TOA PAYOH,NASCANS FIRST TOA PAYOH STUDENT CARE CENTRE,7 LORONG 8 TOA PAYOH NASCANS FIRST TOA PAYOH STUDENT CARE CENTRE SINGAPORE 319252,319252,30485.3756709313,35831.6336071584,1.34032298622598,103.855651157354,7    LORONG 8 TOA PAYOH
FRONTIER PRIMARY SCHOOL,20,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,13129.8467444237,35399.679120725,1.33641298743234,103.69970173931,20   Jurong West Street 61
LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20,JURONG WEST STREET 61,LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20 JURONG WEST STREET 61 LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL) SINGAPORE 648200,648200,13127.742393123,35425.1252935641,1.3366431119298,103.699682818103,20   Jurong West Street 61
MOE KINDERGARTEN @ FRONTIER,20,JURONG WEST STREET 61,MOE KINDERGARTEN @ FRONTIER,20 JURONG WEST STREET 61 MOE KINDERGARTEN @ FRONTIER SINGAPORE 648200,648200,13126.4445019821,35488.2521096021,1.33721400626256,103.699671124954,20   Jurong West Street 61
PCF SPARKLETOTS KCARE CENTRE @ FRONTIER,20,JURONG WEST STREET 61,PCF SPARKLETOTS KCARE CENTRE @ FRONTIER,20 JURONG WEST STREET 61 PCF SPARKLETOTS KCARE CENTRE @ FRONTIER SINGAPORE 648200,648200,13127.742393123,35425.1252935641,1.3366431119298,103.699682818103,20   Jurong West Street 61
FUCHUN PRIMARY SCHOOL,23,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,23   WOODLANDS AVENUE 1
SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL),23,WOODLANDS AVENUE 1,SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL),23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063,739063,21863.36610494,45818.4663008247,1.43063975763573,103.778175192579,23   WOODLANDS AVENUE 1
FUCHUN SECONDARY SCHOOL,21,WOODLANDS AVENUE 1,FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1 FUCHUN SECONDARY SCHOOL SINGAPORE 739062,739062,21802.2213575486,45825.6298548002,1.43070452883799,103.777625748539,21   WOODLANDS AVENUE 1
AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17179.4264072292,35419.8652930856,1.33659726465816,103.736089481883,65   JURONG EAST STREET 13
FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17181.0134181511,35409.5467255618,1.33650394789627,103.736103745748,65   JURONG EAST STREET 13
FUHUA SECONDARY SCHOOL,5,JURONG WEST STREET 41,FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410,649410,16114.5930194063,36571.750703603,1.34701408913756,103.72652089832,5    JURONG WEST STREET 41
GAN ENG SENG PRIMARY SCHOOL,100,REDHILL CLOSE,GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901,158901,26022.2170935348,29780.10807156,1.28559516494962,103.815547410064,100  REDHILL CLOSE
YMCA STUDENT CARE CENTRE @ GAN ENG SENG PRIMARY,100,REDHILL CLOSE,YMCA STUDENT CARE CENTRE @ GAN ENG SENG PRIMARY,100 REDHILL CLOSE YMCA STUDENT CARE CENTRE @ GAN ENG SENG PRIMARY SINGAPORE 158901,158901,25986.6930139093,29819.9415856339,1.28595540299542,103.815228209494,100  REDHILL CLOSE
GAN ENG SENG SCHOOL,1,HENDERSON ROAD,GAN ENG SENG SCHOOL,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561,159561,26933.2813452026,30164.4591011573,1.28907114485773,103.823733673089,1    HENDERSON ROAD
CHRISTALITE METHODIST CHAPEL,4,GEYLANG EAST CENTRAL,CHRISTALITE METHODIST CHAPEL,4 GEYLANG EAST CENTRAL CHRISTALITE METHODIST CHAPEL SINGAPORE 389706,389706,33599.0035654055,33379.2588208541,1.31814416827374,103.883628501601,4    Geylang East Central
GEYLANG METHODIST SCHOOL (PRIMARY),4,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706,389706,33623.1818729434,33318.1223668903,1.31759126757284,103.883845744916,4    Geylang East Central
KIDZ TREEHOUSE @ GEYLANG METHODIST PRIMARY,4,GEYLANG EAST CENTRAL,KIDZ TREEHOUSE @ GEYLANG METHODIST PRIMARY,4 GEYLANG EAST CENTRAL KIDZ TREEHOUSE @ GEYLANG METHODIST PRIMARY SINGAPORE 389706,389706,33629.5341844177,33305.4682006706,1.31747682664316,103.883902821362,4    Geylang East Central
GEYLANG METHODIST SCHOOL (SECONDARY),2,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705,389705,33491.3455231488,33324.5040080417,1.31764900474601,103.882661129303,2    GEYLANG EAST CENTRAL
COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40890.1319455709,37688.8239677399,1.35711606790292,103.949144797277,1    TAMPINES STREET 42
GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40886.8508355999,37702.2195482217,1.35723721393297,103.949115320172,1    TAMPINES STREET 42
MOE KINDERGARTEN @ GONGSHANG,1,TAMPINES STREET 42,MOE KINDERGARTEN @ GONGSHANG,1 TAMPINES STREET 42 MOE KINDERGARTEN @ GONGSHANG SINGAPORE 529176,529176,40900.4946135487,37684.3217867706,1.35707534737744,103.949237910522,1    TAMPINES STREET 42
GREENDALE PRIMARY SCHOOL,50,EDGEDALE PLAINS,GREENDALE PRIMARY SCHOOL,50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848,828848,36793.4333255449,42041.5424514245,1.39648195114256,103.91233462071,50   Edgedale Plains
MOE KINDERGARTEN @ GREENDALE,50,EDGEDALE PLAINS,MOE KINDERGARTEN @ GREENDALE,50 EDGEDALE PLAINS MOE KINDERGARTEN @ GREENDALE SINGAPORE 828848,828848,36869.7601908892,41988.4874885771,1.39600211828423,103.913020462134,50   Edgedale Plains
QSF - THE ENABLERS PTE LTD (STUDENT CARE @ GREENDALE PRI),50,EDGEDALE PLAINS,QSF - THE ENABLERS PTE LTD (STUDENT CARE @ GREENDALE PRI),50 EDGEDALE PLAINS QSF - THE ENABLERS PTE LTD (STUDENT CARE @ GREENDALE PRI) SINGAPORE 828848,828848,36806.320434168,42039.5216397587,1.39646367174598,103.912450421018,50   Edgedale Plains
GREENDALE SECONDARY SCHOOL,51,EDGEDALE PLAINS,GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866,828866,36722.8223570501,42094.4224047884,1.39696019936894,103.91170014084,51   EDGEDALE PLAINS
GREENRIDGE PRIMARY SCHOOL,11,JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,677744,20708.0073222192,40870.2050487585,1.3858892193692,103.767794469258,11   JELAPANG ROAD
YMCA STUDENT CARE CENTRE @ GREENRIDGE,11,JELAPANG ROAD,YMCA STUDENT CARE CENTRE @ GREENRIDGE,11 JELAPANG ROAD YMCA STUDENT CARE CENTRE @ GREENRIDGE SINGAPORE 677744,677744,20708.9999910127,40874.8348092809,1.38593108948507,103.767803387989,11   JELAPANG ROAD
32 BUKIT PANJANG RING ROAD SINGAPORE 679938,32,BUKIT PANJANG RING ROAD,NIL,32 BUKIT PANJANG RING ROAD SINGAPORE 679938,679938,21379.5029344708,40425.1360503398,1.38186433722811,103.773828466913,32   BUKIT PANJANG RING ROAD
GREENWOOD PRIMARY SCHOOL,11,WOODLANDS DRIVE 62,GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,737942,24818.0410170276,46842.3174743224,1.43989958331782,103.804725587384,11   WOODLANDS  DR  62
SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11,WOODLANDS DRIVE 62,SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL),11 WOODLANDS DRIVE 62 SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL) SINGAPORE 737942,737942,24794.6262799157,46865.6384109538,1.4401104867196,103.804515180606,11   WOODLANDS  DR  62
GUANGYANG SECONDARY SCHOOL,8,BISHAN STREET 12,GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807,579807,29879.7115914728,36283.3906797953,1.34440856042912,103.850208933626,8    BISHAN STREET 12
HAI SING CATHOLIC SCHOOL,9,PASIR RIS DRIVE 6,HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6 HAI SING CATHOLIC SCHOOL SINGAPORE 519421,519421,41490.9673433183,39593.0795296021,1.3743371707478,103.954544548905,9    PASIR RIS DRIVE 6
HAIG GIRLS' SCHOOL,51,KOON SENG ROAD,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072,427072,35744.037941209,32693.6655622385,1.31194344271383,103.902902557195,51   Koon Seng Road
HAIG GIRLS' SCHOOL (U/C),51,KOON SENG ROAD,HAIG GIRLS' SCHOOL (U/C),51 KOON SENG ROAD HAIG GIRLS' SCHOOL (U/C) SINGAPORE 427072,427072,35798.6867555426,32648.9584790319,1.31153911414311,103.903393592097,51   Koon Seng Road
KIDZ TREEHOUSE @ HAIG GIRLS',51,KOON SENG ROAD,KIDZ TREEHOUSE @ HAIG GIRLS',51 KOON SENG ROAD KIDZ TREEHOUSE @ HAIG GIRLS' SINGAPORE 427072,427072,35761.7296382273,32670.1590828672,1.31173085411355,103.903061519804,51   Koon Seng Road
HENRY PARK PRIMARY SCHOOL,1,HOLLAND GROVE ROAD,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790,278790,22544.2873791968,33216.9645254761,1.31667646178347,103.784296227747,1    HOLLAND GROVE ROAD
PRO-TEACH SCHOOL CARE (HENRY PARK),1,HOLLAND GROVE ROAD,PRO-TEACH SCHOOL CARE (HENRY PARK),1 HOLLAND GROVE ROAD PRO-TEACH SCHOOL CARE (HENRY PARK) SINGAPORE 278790,278790,22525.7713336423,33224.8035397753,1.31674735173514,103.784129850316,1    HOLLAND GROVE ROAD
HILLGROVE SECONDARY SCHOOL,10,BUKIT BATOK STREET 52,HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52 HILLGROVE SECONDARY SCHOOL SINGAPORE 659250,659250,19059.9452109011,37204.3120635767,1.35273576615912,103.752986488399,10   BUKIT BATOK STREET 52
HOLY INNOCENTS' HIGH SCHOOL,1191,UPPER SERANGOON ROAD,HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD HOLY INNOCENTS' HIGH SCHOOL SINGAPORE 534786,534786,35020.0627604807,39284.0954767819,1.37154508822261,103.896398814264,1191 UPPER SERANGOON ROAD
HOLY INNOCENTS' PRIMARY SCHOOL,5,LORONG LOW KOON,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451,536451,34765.9036816582,38774.6943912152,1.36693830877349,103.894114899795,5    Lorong Low Koon
KIDZ TREEHOUSE @ HOLY INNOCENTS' PRIMARY,5,LORONG LOW KOON,KIDZ TREEHOUSE @ HOLY INNOCENTS' PRIMARY,5 LORONG LOW KOON KIDZ TREEHOUSE @ HOLY INNOCENTS' PRIMARY SINGAPORE 536451,536451,34780.4997206423,38781.9217803665,1.36700366732013,103.89424605689,5    Lorong Low Koon
HONG WEN SCHOOL,30,TOWNER ROAD,HONG WEN SCHOOL,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829,327829,30705.4493981982,33779.0355954058,1.32175999964553,103.857628468881,30   TOWNER ROAD
PRO-TEACH SCHOOLCARE (HONG WEN BRANCH) PTE LTD,30,TOWNER ROAD,PRO-TEACH SCHOOLCARE (HONG WEN BRANCH) PTE LTD,30 TOWNER ROAD PRO-TEACH SCHOOLCARE (HONG WEN BRANCH) PTE LTD SINGAPORE 327829,327829,30717.1735806195,33778.5725557897,1.32175581103999,103.857733816796,30   TOWNER ROAD
HORIZON PRIMARY SCHOOL,61,EDGEDALE PLAINS,HORIZON PRIMARY SCHOOL,61 EDGEDALE PLAINS HORIZON PRIMARY SCHOOL SINGAPORE 828819,828819,36912.5247354358,42380.7999361996,1.399550034492,103.913404855665,61   Edgedale Plains
MOE KINDERGARTEN @ HORIZON,61,EDGEDALE PLAINS,MOE KINDERGARTEN @ HORIZON,61 EDGEDALE PLAINS MOE KINDERGARTEN @ HORIZON SINGAPORE 828819,828819,36895.8301868727,42389.6472073048,1.39963005110234,103.913254844387,61   Edgedale Plains
PRO-TEACH SCHOOLCARE (HORIZON),61,EDGEDALE PLAINS,PRO-TEACH SCHOOLCARE (HORIZON),61 EDGEDALE PLAINS PRO-TEACH SCHOOLCARE (HORIZON) SINGAPORE 828819,828819,36875.4283853956,42431.5278964583,1.40000881091199,103.91307153053,61   Edgedale Plains
HOUGANG 1,1,HOUGANG STREET 91,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,33136.3424516348,39745.1742408983,1.37571530699875,103.879472337592,1    HOUGANG ST 93
HOUGANG OLIVE,176A,HOUGANG STREET 13,HOUGANG OLIVE,176A HOUGANG STREET 13 HOUGANG OLIVE SINGAPORE 531176,531176,34222.4845907995,36681.7608406078,1.34801069167978,103.889231470637,1    HOUGANG ST 93
HOUGANG OLIVE,175,HOUGANG STREET 13,HOUGANG OLIVE,175 HOUGANG STREET 13 HOUGANG OLIVE SINGAPORE 530175,530175,34126.0666853674,36738.9350641631,1.34852777464929,103.888365107708,1    HOUGANG ST 93
HOUGANG OLIVE,175B,HOUGANG STREET 13,HOUGANG OLIVE,175B HOUGANG STREET 13 HOUGANG OLIVE SINGAPORE 532175,532175,34125.5398408426,36766.1321187876,1.34877373513529,103.888360379207,1    HOUGANG ST 93
HOUGANG PRIMARY SCHOOL,1,HOUGANG STREET 93,HOUGANG PRIMARY SCHOOL,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238,534238,33284.6782123018,39929.5216681417,1.37738245231461,103.880805274557,1    HOUGANG ST 93
HOUGANG SECONDARY SCHOOL,2,HOUGANG STREET 93,HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256,534256,33477.0592164416,39958.0252705514,1.37764019332164,103.882533963338,1    HOUGANG ST 93
HOUGANG SPRING,693,HOUGANG STREET 61,HOUGANG SPRING,693 HOUGANG STREET 61 HOUGANG SPRING SINGAPORE 530693,530693,34034.2881051395,39853.8510429524,1.3766979699603,103.887541049902,1    HOUGANG ST 93
HOUGANG STREET 93,,HOUGANG STREET 93,NIL,HOUGANG STREET 93,NIL,33363.179352188,40009.7884142332,1.37810834188276,103.881510679068,1    HOUGANG ST 93
VILLAGE RESIDENCE HOUGANG,1,HOUGANG STREET 91,VILLAGE RESIDENCE HOUGANG,1 HOUGANG STREET 91 VILLAGE RESIDENCE HOUGANG SINGAPORE 538692,538692,33117.165111172,39760.0655137971,1.37584998164921,103.879300017907,1    HOUGANG ST 93
YMCA STUDENT CARE CENTRE @ HOUGANG,1,HOUGANG STREET 93,YMCA STUDENT CARE CENTRE @ HOUGANG,1 HOUGANG STREET 93 YMCA STUDENT CARE CENTRE @ HOUGANG SINGAPORE 534238,534238,33295.2221855018,39928.7320672497,1.37737530954806,103.880900019698,1    HOUGANG ST 93
HOUGANG SECONDARY SCHOOL,2,HOUGANG STREET 93,HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256,534256,33477.0592164416,39958.0252705514,1.37764019332164,103.882533963338,2    HOUGANG STREET 93
HUA YI SECONDARY SCHOOL,60,JURONG WEST STREET 42,HUA YI SECONDARY SCHOOL,60 JURONG WEST STREET 42 HUA YI SECONDARY SCHOOL SINGAPORE 649371,649371,15592.8322145641,37161.0913502462,1.35234365488339,103.721832320169,60   JURONG WEST ST 42
HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,21   YISHUN AVENUE 11
MOE KINDERGARTEN @ HUAMIN,21,YISHUN AVENUE 11,MOE KINDERGARTEN @ HUAMIN,21 YISHUN AVENUE 11 MOE KINDERGARTEN @ HUAMIN SINGAPORE 768857,768857,29198.8241870897,45449.2488998696,1.4273013308197,103.844091119272,21   YISHUN AVENUE 11
WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 WHEE!CANOPUS STUDENT CARE @ HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29212.0174563685,45411.3805951737,1.42695886300879,103.844209671353,21   YISHUN AVENUE 11
CHINESE HIGH SCHOOL CLOCK TOWER BUILDING,661,BUKIT TIMAH ROAD,CHINESE HIGH SCHOOL CLOCK TOWER BUILDING,661 BUKIT TIMAH ROAD CHINESE HIGH SCHOOL CLOCK TOWER BUILDING SINGAPORE 269734,269734,24658.1639833655,34287.4728272986,1.3263580622144,103.803290365022,661  BUKIT TIMAH ROAD
HWA CHONG INSTITUTION,661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269734,269734,24926.8156149359,34131.5293299966,1.3249477928719,103.805704361472,661  BUKIT TIMAH ROAD
HWA CHONG INSTITUTION (AUDITORIUM),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (AUDITORIUM),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (AUDITORIUM) SINGAPORE 269734,269734,24929.7337209778,34205.2982177679,1.32561493280909,103.805730574839,661  BUKIT TIMAH ROAD
HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE) SINGAPORE 269734,269734,24448.348166584,34416.4159513339,1.32752415425611,103.80140504104,661  BUKIT TIMAH ROAD
HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE) SINGAPORE 269734,269734,24794.2409987506,34152.7572960891,1.32513975740581,103.804513104992,661  BUKIT TIMAH ROAD
INNOVA PRIMARY SCHOOL,80,WOODLANDS DRIVE 17,INNOVA PRIMARY SCHOOL,80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888,737888,23246.8971469188,45633.4723797198,1.42896700684852,103.790607539185,80   Woodlands Drive 17
PRO-TEACH SCHOOLCARE (INNOVA),80,WOODLANDS DRIVE 17,PRO-TEACH SCHOOLCARE (INNOVA),80 WOODLANDS DRIVE 17 PRO-TEACH SCHOOLCARE (INNOVA) SINGAPORE 737888,737888,23245.2490552058,45667.8495751731,1.42927790140509,103.790592723808,80   Woodlands Drive 17
JIEMIN PRIMARY SCHOOL,2,YISHUN STREET 71,JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515,768515,27678.0421859771,45492.0549418237,1.42768847665227,103.830425490093,2    YISHUN STREET 71
QSF - THE ENABLERS PTE LTD (STUDENT CARE @ JIEMIN PRI),2,YISHUN STREET 71,QSF - THE ENABLERS PTE LTD (STUDENT CARE @ JIEMIN PRI),2 YISHUN STREET 71 QSF - THE ENABLERS PTE LTD (STUDENT CARE @ JIEMIN PRI) SINGAPORE 768515,768515,27675.3278137334,45482.9473963268,1.42760611127302,103.830401099055,2    YISHUN STREET 71
AMK HEIGHTS,352,ANG MO KIO STREET 32,AMK HEIGHTS,352 ANG MO KIO STREET 32 AMK HEIGHTS SINGAPORE 560352,560352,29952.6014969982,38496.6787232533,1.36442474404862,103.850864037677,5    ANG MO KIO ST 52
ANG MO KIO BUS INTERCHANGE,57,ANG MO KIO AVENUE 8,ANG MO KIO BUS INTERCHANGE,57 ANG MO KIO AVENUE 8 ANG MO KIO BUS INTERCHANGE SINGAPORE 567751,567751,29685.3052657386,39060.0209576953,1.36951942637994,103.848462230319,5    ANG MO KIO ST 52
ANG MO KIO FIRE STATION,2874,ANG MO KIO AVENUE 9,ANG MO KIO FIRE STATION,2874 ANG MO KIO AVENUE 9 ANG MO KIO FIRE STATION SINGAPORE 569783,569783,29369.8056964744,40770.4391411114,1.3849878525885,103.845627324406,5    ANG MO KIO ST 52
